138 138
1 1 1
2 1 1
5 1 1
7 1 1
7 3 1
8 4 1
7 4 1
13 4 1
16 3 1
20 2 1
22 2 1
21 1 1
22 1 1
23 1 1
15 2 1
12 2 1
11 1 1
10 1 1
11 7 1
7 7 1
5 7 1
2 6 1
1 6 1
2 7 1
1 7 1
2 8 1
3 9 1
1 9 1
3 5 1
5 8 1
18 8 1
13 13 1
14 13 1
16 13 1
17 14 1
18 16 1
13 17 1
13 18 1
9 18 1
8 18 1
7 18 1
7 17 1
6 16 1
9 16 1
11 15 1
16 18 1
18 19 1
17 22 1
16 22 1
17 24 1
18 24 1
17 25 1
9 29 1
7 29 1
8 33 1
8 35 1
7 37 1
8 36 1
4 37 1
2 36 1
3 31 1
1 30 1
2 30 1
1 29 1
2 24 1
2 21 1
6 22 1
18 35 1
20 35 1
23 36 1
26 36 1
27 36 1
29 36 1
26 33 1
26 32 1
25 38 1
26 38 1
27 38 1
28 38 1
29 39 1
27 37 1
26 40 1
27 40 1
21 38 1
20 39 1
1 40 1
2 39 1
5 39 1
7 39 1
15 39 1
19 36 1
20 32 1
21 32 1
18 30 1
12 21 1
11 20 1
8 19 1
5 20 1
4 20 1
3 20 1
18 29 1
22 28 1
24 29 1
29 30 1
29 28 1
29 27 1
23 26 1
26 23 1
29 22 1
29 23 1
29 24 1
29 26 1
29 20 1
29 21 1
22 21 1
22 22 1
21 18 1
17 12 1
9 9 1
1 11 1
1 14 1
2 16 1
1 16 1
1 17 1
19 10 1
18 5 1
21 7 1
22 7 1
25 6 1
26 14 1
29 10 1
29 11 1
29 9 1
25 11 1
29 8 1
29 7 1
17 4 1
2 4 1
